khipu_id,cluster,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000489,3,19,18,1.894736842105263,18,0.0526315789473684,1,18,18.0,1,18,0.8421052631578947,0.9473684210526316,0.0,0.0
1000490,3,17,16,1.8823529411764703,6,0.0588235294117647,2,12,3.2,1,12,0.7058823529411765,0.7647058823529411,415.5833333333333,312.1638080488441
1000491,1,9,8,1.7777777777777777,8,0.1111111111111111,1,8,8.0,1,8,0.8888888888888888,0.8888888888888888,3.375,0.8569568250501305
1000492,2,69,68,1.9710144927536235,68,0.0144927536231884,1,68,68.0,1,68,0.7246376811594203,0.9710144927536232,8.92,19.00930298564364
1000493,0,155,154,1.9870967741935484,96,0.0064516129032258,4,96,2.655172413793104,1,97,0.9935483870967742,0.9870967741935484,135.14285714285714,59.64237887668885
1000494,3,91,90,1.978021978021978,31,0.0109890109890109,3,52,2.3684210526315788,1,53,0.9230769230769232,0.989010989010989,14.095238095238097,11.52803936538982
1000495,3,134,133,1.985074626865672,54,0.0074626865671641,3,70,2.891304347826087,1,88,0.8283582089552238,0.9925373134328358,500.2972972972973,1040.8429068112837
1000496,3,31,30,1.935483870967742,30,0.032258064516129,1,30,30.0,1,30,0.9032258064516128,0.967741935483871,289.07142857142856,325.13820452357845
1000497,3,64,63,1.96875,58,0.015625,2,58,12.6,1,59,0.765625,0.984375,65.65306122448979,96.26378534100937
1000499,3,79,78,1.9746835443037976,64,0.0126582278481012,2,64,5.571428571428571,1,65,0.9367088607594936,0.9873417721518988,14693.648648648648,39334.44648844354
1000500,3,89,88,1.9775280898876404,49,0.0112359550561797,2,49,3.142857142857143,1,61,0.9325842696629212,0.9887640449438202,33.01204819277108,46.31674447428784
1000501,0,419,417,1.990453460620525,394,0.0023809251921298,2,395,18.130434782608692,2,396,0.8568019093078759,0.9904534606205252,21.050139275766018,20.77838344635008
1000502,3,29,28,1.9310344827586208,23,0.0344827586206896,2,23,5.6,1,24,0.5862068965517241,0.9655172413793104,49.41176470588236,114.71194554111176
1000503,3,71,70,1.971830985915493,59,0.0140845070422535,2,59,8.75,1,63,0.5352112676056338,0.9577464788732394,35.21052631578947,27.393965811486414
1000504,0,228,226,1.9824561403508767,97,0.004366643480949,4,100,2.306122448979592,2,130,0.9736842105263158,0.9780701754385964,93.72072072072072,44.34329045627501
1000505,3,121,120,1.9834710743801651,35,0.0082644628099173,3,83,3.870967741935484,1,90,0.5950413223140496,0.9917355371900828,24.36111111111111,27.581347136725267
1000506,0,168,167,1.988095238095238,134,0.0059523809523809,2,134,5.21875,1,136,0.7916666666666666,0.988095238095238,15.045112781954888,20.17810346820896
