khipu_id,cluster,predicted_function,accounting_probability,numeric_coverage,has_pendant_summation,pendant_match_rate,color_diversity,num_nodes,depth,avg_branching
1000123,3,Accounting,0.9911764705882353,0.9523809523809524,False,0.0,3.0,21,1,20.0
1000124,2,Accounting,1.0,0.9380530973451328,False,0.0,5.0,113,1,112.0
1000125,3,Accounting,1.0,0.8809523809523809,False,0.0,5.0,42,3,3.1538461538461537
1000126,3,Accounting,1.0,0.875,True,0.0625,3.0,48,3,2.473684210526316
1000127,3,Accounting,1.0,0.8907563025210085,False,0.0,8.0,119,2,4.916666666666667
1000128,3,Accounting,1.0,0.951219512195122,False,0.0,4.0,41,2,2.5
1000129,1,Accounting,1.0,0.75,False,0.0,3.0,4,1,3.0
1000130,1,Accounting,1.0,0.8,False,0.0,4.0,10,2,2.25
1000131,2,Accounting,1.0,0.9242424242424242,False,0.0,3.0,66,1,65.0
1000132,3,Accounting,0.99,0.7714285714285715,True,0.1111111111111111,1.0,35,2,2.0
1000133,3,Accounting,0.9911764705882353,0.631578947368421,False,0.0,2.0,19,1,18.0
1000134,1,Accounting,1.0,0.8888888888888888,False,0.0,1.0,9,1,8.0
1000135,3,Accounting,1.0,0.8823529411764706,False,0.0,3.0,17,1,16.0
1000136,1,Accounting,1.0,0.6666666666666666,False,0.0,2.0,6,1,5.0
1000137,3,Accounting,1.0,0.8214285714285714,True,1.0,2.0,28,2,13.5
1000138,3,Accounting,1.0,0.9705882352941176,True,0.1,5.0,34,2,3.0
1000139,3,Accounting,1.0,0.6818181818181818,False,0.0,4.0,22,2,7.0
